217000	COMPLEMENT COMPONENT 2 DEFICIENCY; C2D 	补体成分2缺乏症【C2D】 	http://omim.org/entry/217000	http://49.4.68.254:8081/knowledge/omim/217000/
606824	GLUCOSE/GALACTOSE MALABSORPTION; GGM 	葡萄糖/半乳糖吸收障碍【GGM】	http://omim.org/entry/606824	http://49.4.68.254:8081/knowledge/omim/606824/
613825	COMPLEMENT COMPONENT 9 DEFICIENCY; C9D 	补体C9缺乏【C9D】 	http://omim.org/entry/613825	http://49.4.68.254:8081/knowledge/omim/613825/
115080	CARDIAC CONDUCTION DEFECT 	心脏传导障碍 	http://omim.org/entry/115080	http://49.4.68.254:8081/knowledge/omim/115080/
609536	COMPLEMENT COMPONENT 5 DEFICIENCY; C5D 	补体成分5缺乏症【C5D】 	http://omim.org/entry/609536	http://49.4.68.254:8081/knowledge/omim/609536/
613779	COMPLEMENT COMPONENT 3 DEFICIENCY, AUTOSOMAL RECESSIVE; C3D 	常染色体隐性补体C3缺乏【C3D】	http://omim.org/entry/613779	http://49.4.68.254:8081/knowledge/omim/613779/
143470	HYPERALPHALIPOPROTEINEMIA 1; HALP1 	高α脂蛋白血症1型【 HALP1】 	http://omim.org/entry/143470	http://49.4.68.254:8081/knowledge/omim/143470/
600791	DEAFNESS, AUTOSOMAL RECESSIVE 4, WITH ENLARGED VESTIBULAR AQUEDUCT; DFNB4 	常染色体隐性耳聋伴前庭导水管扩张4型【DFNB4】	http://omim.org/entry/600791	http://49.4.68.254:8081/knowledge/omim/600791/
174810	FAMILIAL EXPANSILE OSTEOLYSIS; FEO 	家族性扩张性骨溶解症【FEO】	http://omim.org/entry/174810	http://49.4.68.254:8081/knowledge/omim/174810/
132400	EPIPHYSEAL DYSPLASIA, MULTIPLE, 1; EDM1 	多发性骨骺发育不良1型【EDM1】	http://omim.org/entry/132400	http://49.4.68.254:8081/knowledge/omim/132400/
600204	EPIPHYSEAL DYSPLASIA, MULTIPLE, 2; EDM2 	多发性骨骺发育不良2型【EDM2】	http://omim.org/entry/600204	http://49.4.68.254:8081/knowledge/omim/600204/
226900	EPIPHYSEAL DYSPLASIA, MULTIPLE, 4; EDM4 	多发性骨骺发育不良4型【EDM4】	http://omim.org/entry/226900	http://49.4.68.254:8081/knowledge/omim/226900/
180020	RETINAL CONE DYSTROPHY 1; RCD1	无	http://omim.org/entry/180020	http://49.4.68.254:8081/knowledge/omim/180020/
300755	AGAMMAGLOBULINEMIA, X-LINKED; XLA 	X-连锁无丙种球蛋白血症【XLA】 	http://omim.org/entry/300755	http://49.4.68.254:8081/knowledge/omim/300755/
610170	KYPHOSCOLIOSIS 1; KYPSC1	无	http://omim.org/entry/610170	http://49.4.68.254:8081/knowledge/omim/610170/
300194	AMME COMPLEX	无	http://omim.org/entry/300194	http://49.4.68.254:8081/knowledge/omim/300194/
313900	THROMBOCYTOPENIA 1; THC1 	血小板减少症1型【THC1】 	http://omim.org/entry/313900	http://49.4.68.254:8081/knowledge/omim/313900/
106210	ANIRIDIA; AN 	无虹膜【AN】 	http://omim.org/entry/106210	http://49.4.68.254:8081/knowledge/omim/106210/
600698	HIGH MOBILITY GROUP AT-HOOK 2; HMGA2	无	http://omim.org/entry/600698	http://49.4.68.254:8081/knowledge/omim/600698/
164160	LEPTIN; LEP	无	http://omim.org/entry/164160	http://49.4.68.254:8081/knowledge/omim/164160/
300100	ADRENOLEUKODYSTROPHY; ALD 	肾上腺脑白质营养不良【ALD】	http://omim.org/entry/300100	http://49.4.68.254:8081/knowledge/omim/300100/
222300	WOLFRAM SYNDROME 1; WFS1 	Wolfram综合征1型【WFS1】 	http://omim.org/entry/222300	http://49.4.68.254:8081/knowledge/omim/222300/
200100	ABETALIPOPROTEINEMIA; ABL 	无β脂蛋白血症【ABL】 	http://omim.org/entry/200100	http://49.4.68.254:8081/knowledge/omim/200100/
109150	MACHADO-JOSEPH DISEASE, MJD; spinocerebellar ataxia 3;SCA3 	马查多-约瑟夫病【MJD】（脊髓小脑共济失调3型【SCA3】）	http://omim.org/entry/109150	http://49.4.68.254:8081/knowledge/omim/109150/
125370	DENTATORUBRAL-PALLIDOLUYSIAN ATROPHY; DRPLA 	齿状核红核苍白球路易氏体萎缩【DRPLA】	http://omim.org/entry/125370	http://49.4.68.254:8081/knowledge/omim/125370/
610743	SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 8; SCAR8 	常染色体隐性脊髓小脑共济失调8型【SCAR8】	http://omim.org/entry/610743	http://49.4.68.254:8081/knowledge/omim/610743/
